M,Scheduling Method,Chunk Size,T1,T2,T4,T8,S2,S4,S8
5000,dynamic,50,0.000259,0.000311,0.000241,0.000248,0.834567,1.078170,1.046831
5000,guided ,50,0.000259,0.000282,0.000220,0.000438,0.917109,1.177889,0.590691
5000,static ,100,0.000328,0.000319,0.000263,0.000486,1.028231,1.247811,0.674347
5000,dynamic,100,0.000257,0.000306,0.000285,0.000268,0.838889,0.900070,0.959268
5000,guided ,100,0.000270,0.000275,0.000199,0.000383,0.982169,1.353561,0.704332
5000,static ,1000,0.000276,0.000313,0.000280,0.000303,0.881789,0.985711,0.912095
5000,dynamic,1000,0.000293,0.000438,0.000283,0.000435,0.667655,1.032452,0.672874
5000,guided ,1000,0.000276,0.000333,0.000287,0.000333,0.829679,0.961699,0.829928
5000,static ,5000,0.000262,0.000312,0.000326,0.000482,0.840873,0.803495,0.544115
5000,dynamic,5000,0.000254,0.000430,0.000387,0.000487,0.589779,0.655226,0.521034
5000,guided ,5000,0.000255,0.000416,0.000338,0.000412,0.613276,0.753323,0.618632
5000,static ,10000,0.000279,0.000325,0.000376,0.000453,0.855870,0.739904,0.614655
5000,dynamic,10000,0.000256,0.000403,0.000451,0.000421,0.634358,0.567909,0.608417
5000,guided ,10000,0.000298,0.000457,0.000355,0.000527,0.651127,0.838264,0.564838
5000,static ,50000,0.000357,0.000360,0.000369,0.000444,0.991935,0.967191,0.803922
5000,dynamic,50000,0.000258,0.000379,0.000343,0.000485,0.680845,0.750874,0.531121
5000,guided ,50000,0.000256,0.000433,0.000582,0.000603,0.590678,0.440089,0.424263
5000,static ,100000,0.000258,0.000541,0.000349,0.000556,0.476710,0.738968,0.464099
7500,static ,10,0.000542,0.000361,0.000409,0.000452,1.501243,1.324047,1.198673
7500,dynamic,10,0.000434,0.000419,0.000297,0.000376,1.037984,1.462963,1.156200
7500,guided ,10,0.000507,0.000448,0.000316,0.000502,1.131532,1.602467,1.009966
7500,static ,50,0.000420,0.000383,0.000343,0.000402,1.097516,1.222125,1.045059
7500,dynamic,50,0.000605,0.000412,0.000322,0.000356,1.466408,1.875310,1.700225
7500,guided ,50,0.000415,0.000445,0.000317,0.000297,0.932645,1.308759,1.400539
7500,static ,100,0.000419,0.000399,0.000347,0.000506,1.049373,1.206281,0.828125
7500,dynamic,100,0.000481,0.000536,0.000315,0.000314,0.897910,1.528272,1.530703
7500,guided ,100,0.000434,0.000394,0.000271,0.000401,1.102870,1.604582,1.083874
7500,static ,1000,0.000418,0.000358,0.000262,0.000426,1.167412,1.594884,0.980056
7500,dynamic,1000,0.000516,0.000524,0.000336,0.000399,0.985491,1.534027,1.292762
